Polluant,valeur,Latitude,Longitude,nom site,Zas,Année
NO2,14.0,43.633478,1.375717,Toulouse aéroport côté trafic,ZAG TOULOUSE,2020
NO2,11.0,43.094992,-0.052394,LOURDES PARADIS,ZR OCCITANIE,2020
NO2,11.0,43.230297,0.062339,Tarbes lycée Dupuy,ZR OCCITANIE,2020
NO2,7.0,43.610497,2.23015,Stade Travet CASTRES,ZR OCCITANIE,2020
NO2,30.0,43.643944,1.468244,TRAFIC_TOULOUSE,ZAG TOULOUSE,2020
NO2,35.0,43.610386,1.4152,Toulouse Port de l'Embouchure,ZAG TOULOUSE,2020
NO2,12.0,44.35699225,2.57070422,Rodez,ZR OCCITANIE,2020
NO2,5.0,49.90778,4.63,REVIN,ZR GRAND-EST,2020
NO2,13.0,49.28222,4.051111,BETHENY,ZAR REIMS,2020
NO2,31.0,49.250732,4.023064,DOUMER,ZAR REIMS,2020
NO2,13.0,49.224167,4.020556,Jean d Aulan,ZAR REIMS,2020
NO2,9.0,48.962223,4.36,CHALONS,ZR GRAND-EST,2020
NO2,19.0,49.0461,3.955911,Rempart Perrier,ZR GRAND-EST,2020
NO2,8.0,48.7266,4.594781,Capitainerie,ZR GRAND-EST,2020
NO2,12.0,48.301666,4.076944,Troyes La Tour ,ZR GRAND-EST,2020
NO2,10.0,48.295002,4.050278,STE SAVINE,ZR GRAND-EST,2020
NO2,8.0,48.645836,4.966111,St DIZIER L. Michel,ZR GRAND-EST,2020
NO2,12.0,49.745277,4.719167,CHARLEVILLE,ZR GRAND-EST,2020
NO2,13.0,45.07954,5.728653,Champ sur Drac,ZAG GRENOBLE,2020
NO2,14.0,45.360176,5.589419,Voiron Urbain,ZAG GRENOBLE,2020
NO2,20.0,45.1828,5.7531,St Martin d'Heres,ZAG GRENOBLE,2020
NO2,30.0,45.158363,5.703764,Le Rondeau,ZAG GRENOBLE,2020
NO2,16.0,45.1619,5.7356,Grenoble Les Frenes,ZAG GRENOBLE,2020
NO2,8.0,45.0578,5.6767,Grenoble PeriurbSud,ZAG GRENOBLE,2020
NO2,38.0,45.18069,5.720625,Grenoble Boulevards,ZAG GRENOBLE,2020
NO2,13.0,45.2797,5.8822,Gresivaudan Periurb,ZAG GRENOBLE,2020
NO2,25.0,48.608818,7.708917,Strasbourg Ouest,ZAG STRASBOURG,2020
NO2,12.0,48.919357,8.158458,Nord-Est Alsace,ZR GRAND-EST,2020
NO2,17.0,48.610363,7.781631,Strasbourg Nord,ZAG STRASBOURG,2020
