Polluant,valeur,Latitude,Longitude,nom site,Zas,Année
PM10,16.0,47.468513,-0.556053,BEAUX ARTS,ZAR ANGERS-LOIRE,2022
PM10,15.0,48.06943,-0.767692,MAZAGRAN,ZAR LAVAL,2022
PM10,13.0,46.656685,-0.743681,LA TARDIERE,ZR PAYS-DE-LA-LOIRE,2022
PM10,17.0,46.6607,-1.436831,DELACROIX,ZR PAYS-DE-LA-LOIRE,2022
PM10,16.0,47.78773,-0.444044,SAINT-DENIS D'ANJOU,ZR PAYS-DE-LA-LOIRE,2022
PM10,15.0,47.319157,-2.066953,PARSCAU DU PLESSIS,ZAG NANTES-SAINT-NAZAIRE,2022
PM10,16.0,47.971066,0.221422,SOURCES,ZAR LE-MANS,2022
PM10,16.0,47.2225,-1.5375,CIM BOUTEILLERIE,ZAG NANTES-SAINT-NAZAIRE,2022
PM10,17.0,47.1941472,-1.581677778,LEVOYER,ZAG NANTES-SAINT-NAZAIRE,2022
PM10,18.0,47.1859194,-1.59149722222222,LES COUETS,ZAG NANTES-SAINT-NAZAIRE,2022
PM10,17.0,47.466992,-0.554686,ROI RENE,ZAR ANGERS-LOIRE,2022
PM10,17.0,47.3210778,-2.127322,CAME,ZAG NANTES-SAINT-NAZAIRE,2022
PM10,19.0,47.204122,-1.564811,FRERES GONCOURT,ZAG NANTES-SAINT-NAZAIRE,2022
PM10,16.0,43.558389,7.005919,CANNES BROUSSAILLES,ZAG NICE,2022
PM10,16.0,43.835784,5.786131,MANOSQUE,ZR PROVENCE-ALPES-COTE-D-AZUR,2022
PM10,24.0,43.786583,7.373283,PEILLON,ZAG NICE,2022
PM10,23.0,43.788748,7.332382,CONTES 2,ZAG NICE,2022
PM10,20.0,44.555193,6.073015,GAP COMMANDERIE,ZR PROVENCE-ALPES-COTE-D-AZUR,2022
PM10,29.0,43.689291,7.242074,NICE PROMENADE,ZAG NICE,2022
PM10,19.0,43.702075,7.286256,NICE ARSON,ZAG NICE,2022
PM10,18.0,44.548647,6.067237,GAP JEAN JAURES,ZR PROVENCE-ALPES-COTE-D-AZUR,2022
PM10,12.0,43.933476,5.711809,Obs Haute-Provence,ZR PROVENCE-ALPES-COTE-D-AZUR,2022
PM10,16.0,49.358215,1.007853,Gd Couronne Mairie,ZAG ROUEN,2022
PM10,17.0,49.442358,1.093789,Espace du Palais,ZAG ROUEN,2022
PM10,14.0,49.02134,1.148319,Evreux Centre,ZR NORMANDIE,2022
PM10,17.0,49.4005,1.099042,Centre Hospitalier,ZAG ROUEN,2022
PM10,14.0,49.30487,1.214367,Base loisirs Poses,ZR NORMANDIE,2022
PM10,20.0,49.918007,1.073972,Dieppe prox-auto,ZR NORMANDIE,2022
PM10,22.0,49.436699,1.098838,Rouen Proxi Quai de Paris,ZAG ROUEN,2022
PM10,22.0,49.4341639,1.067052778,Petit-Quevilly Sud 3,ZAG ROUEN,2022
PM10,15.0,49.920492,1.047892,Dieppe Golf,ZR NORMANDIE,2022
PM10,16.0,47.307368,5.065881,Dijon Péjoces,ZAR DIJON,2022
PM10,11.0,47.274762,4.099476,Morvan,ZR BOURGOGNE-FRANCHE-COMTE,2022
PM10,14.0,47.325744,5.041056,Dijon Trémouille,ZAR DIJON,2022
PM10,16.0,48.200436,3.2773,Sens,ZR BOURGOGNE-FRANCHE-COMTE,2022
PM10,13.0,46.996828,3.171092,Nevers,ZR BOURGOGNE-FRANCHE-COMTE,2022
PM10,16.0,47.800575,3.576189,Auxerre,ZR BOURGOGNE-FRANCHE-COMTE,2022
PM10,18.0,45.36782,4.805147,ROUSSILLON,ZAR VALLEE-DU-RHONE,2022
PM10,16.0,45.60822,5.270872,Bourgoin-Jallieu,ZAG LYON,2022
PM10,17.0,45.344078,4.807481,A7 Salaise Ouest,ZAR VALLEE-DU-RHONE,2022
PM10,17.0,50.44914,2.9,Harnes Serres,ZAG BLDV,2022
PM10,17.0,50.30886,2.807369,St-Laurent-Blangy,ZAR ARRAS,2022
PM10,18.0,50.535385,2.635692,Bethune Stade,ZAG BLDV,2022
PM10,18.0,50.48972,2.66642,Noeux-les-Mines,ZAG BLDV,2022
PM10,19.0,50.428604,2.836111,Lens Varsovie,ZAG BLDV,2022
PM10,14.0,46.04111,4.074656,ROANNE,ZR AUVERGNE-RHONE-ALPES,2022
PM10,15.0,45.42009,4.395422,SAINT ETIENNE SUD,ZAG SAINT-ETIENNE,2022
PM10,15.0,45.475327,4.515003,SAINT-CHAMOND,ZAG SAINT-ETIENNE,2022
PM10,18.0,45.533424,4.623939,RIVE DE GIER,ZAG SAINT-ETIENNE,2022
PM10,15.0,45.481777,4.429667,LA TALAUDIERE,ZAG SAINT-ETIENNE,2022
PM10,21.0,45.4479806,4.388763889,ST ETIENNE BD URBAIN ,ZAG SAINT-ETIENNE,2022
PM10,15.0,48.1726528,6.45281666,Epinal,ZR GRAND-EST,2022
PM10,16.0,48.621502,6.194922,Fléville,ZAG NANCY,2022
PM10,18.0,48.565445,6.129578,Frolois,ZR GRAND-EST,2022
PM10,25.0,48.614914,6.107672,Neuves-Maisons,ZAG NANCY,2022
PM10,22.0,48.694725,6.965275,Heming,ZR GRAND-EST,2022
PM10,16.0,49.06583,5.785556,Jonville en Woevre,ZR GRAND-EST,2022
PM10,17.0,48.68817,6.190431,Nancy-Charles III,ZAG NANCY,2022
PM10,19.0,44.86121,-0.58037,GRAND PARC,ZAG BORDEAUX,2022
PM10,24.0,44.800462,-0.589398,TALENCE,ZAG BORDEAUX,2022
PM10,21.0,44.849647,-0.544995,BORDEAUX-BASTIDE,ZAG BORDEAUX,2022
PM10,18.0,44.841373,-0.651068,MERIGNAC,ZAG BORDEAUX,2022
PM10,17.0,44.900296,-0.515835,BASSENS,ZAG BORDEAUX,2022
PM10,16.0,43.310797,-0.391543,BILLERE,ZR NOUVELLE-AQUITAINE,2022
PM10,14.0,43.47982,-1.489157,SAINT-CROUTS,ZAG BAYONNE,2022
